facility_type,facility_type_description,subtype,subtype_description,permit_number,premise_name,premise_address,premise_city,premise_state,premise_zip,Inspection_Area,opening_date,ObjectId
695,SWIMMING AREA,191,SWIMMING POOL,78170,PINNACLE PLACE,4301 PINNACLE VIEW PLACE,LOUISVILLE,KY,40272,23,2007/05/03 00:00:00,244
695,SWIMMING AREA,191,SWIMMING POOL,33339,EAST CHASE,1600 HUNNINGTON PL,LOUISVILLE,KY,40220,29,1989/03/30 00:00:00,245
695,SWIMMING AREA,191,SWIMMING POOL,90786,THE PINES CONDOS,3721 BARDSTOWN RD,LOUISVILLE,KY,40218,27,2012/06/04 00:00:00,246
695,SWIMMING AREA,191,SWIMMING POOL,29376,SYCAMORE CONDOS,217 SYCAMORE DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,247
695,SWIMMING AREA,199,WADING POOL,29220,BROWNSBORO FARM COMMUNITY CENTER,3615 CASCADE RD,LOUISVILLE,KY,40241,21,2005/10/19 00:00:00,248
695,SWIMMING AREA,199,WADING POOL,78256,AUDUBON COUNTRY CLUB,3265 ROBIN RD,LOUISVILLE,KY,40213,28,2007/05/23 00:00:00,249
695,SWIMMING AREA,191,SWIMMING POOL,33346,BOULDER CREEK VANTAGE POINT #1 PHASE I,10400 PAVILION WAY,LOUISVILLE,KY,40299,22,1994/06/06 00:00:00,250
695,SWIMMING AREA,191,SWIMMING POOL,90852,VU CLUB,822 S. FLOYD ST.,LOUISVILLE,KY,40203,24,2014/10/17 00:00:00,251
695,SWIMMING AREA,191,SWIMMING POOL,29379,FOUR SEASONS APT,8010 SUMMERFIELD CIR,LOUISVILLE,KY,40220,29,1988/06/07 00:00:00,252
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29221,BROWNSBORO FARM COMMUNITY CENTER,3615 CASCADE RD,LOUISVILLE,KY,40241,21,1988/06/06 00:00:00,253
695,SWIMMING AREA,191,SWIMMING POOL,78380,WATERFRONT PARK PLACE,222 E WITHERSPOON ST,LOUISVILLE,KY,40202,24,2007/06/20 00:00:00,254
695,SWIMMING AREA,191,SWIMMING POOL,33353,BRADFORD GROVE,7620 WHITE POST WAY,LOUISVILLE,KY,40220,29,1992/01/24 00:00:00,255
695,SWIMMING AREA,191,SWIMMING POOL,91385,PARK LAUREATE APARTMENTS,2050 STONEYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/07/17 00:00:00,256
695,SWIMMING AREA,199,WADING POOL,29235,OWL CREEK COUNTRY CLUB,12400 OSAGE ROAD,LOUISVILLE,KY,40223,25,1988/06/06 00:00:00,257
695,SWIMMING AREA,191,SWIMMING POOL,29387,GALT HOUSE,140 N. 4TH ST.,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,258
695,SWIMMING AREA,191,SWIMMING POOL,78411,WILLOWGATE,1311 BLACKTHORN RD,LOUISVILLE,KY,40299,22,2007/06/12 00:00:00,259
695,SWIMMING AREA,191,SWIMMING POOL,33357,WOLF CREEK,4400 WOLF SPRING DR,LOUISVILLE,KY,40241,21,1988/11/11 00:00:00,260
695,SWIMMING AREA,191,SWIMMING POOL,91655,DISTRICT AT HURSTBOURNE,9811 VIEUX CARRE,LOUISVILLE,KY,40223,25,2013/05/21 00:00:00,261
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29236,OWL CREEK COUNTRY CLUB,12400 OSAGE ROAD,LOUISVILLE,KY,40223,25,1988/06/06 00:00:00,262
695,SWIMMING AREA,191,SWIMMING POOL,29389,GARDEN COURT CONDOMINIUM,2505 BROWNSBORO RD.,LOUISVILLE,KY,40206,24,1997/05/09 00:00:00,263
695,SWIMMING AREA,191,SWIMMING POOL,78634,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2007/07/24 00:00:00,264
695,SWIMMING AREA,191,SWIMMING POOL,36002,BRIDGEPOINTE SWIM CLUB,4910 OLDE CREEK WAY,LOUISVILLE,KY,40059,21,1988/09/29 00:00:00,265
695,SWIMMING AREA,191,SWIMMING POOL,91657,PARK LAUREATE APTS  INDOOR,2050 STONYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/10/18 00:00:00,266
695,SWIMMING AREA,191,SWIMMING POOL,29239,PARK TERRACE CONDO,1611 SPRING DR,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,267
695,SWIMMING AREA,191,SWIMMING POOL,29390,GASLITE SQUARE CONDOS,4851 SHERBURN LN.,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,268
