AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7852,POLICE SERGEANT                    ,F,W ,50 - 59,51,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,12,1593
7871,POLICE SERGEANT                    ,M,W ,30 - 39,36,3RD DIVISION                                           ,2ND PLATOON                                            ,12,1594
7870,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,2ND PLATOON                                            ,12,1595
7873,POLICE RECRUIT                     ,F,W ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,122,1596
7867,POLICE OFFICER                     ,M,A ,30 - 39,36,6TH DIVISION                                           ,1ST PLATOON                                            ,12,1597
7874,POLICE RECRUIT                     ,M,U ,40 - 49,42,TRAINING                                               ,RECRUITS                                               ,122,1598
7853,POLICE OFFICER                     ,M,W ,30 - 39,36,8TH DIVISION                                           ,1ST PLATOON                                            ,12,1599
7894,POLICE OFFICER                     ,M,W ,30 - 39,39,3RD DIVISION                                           ,DETECTIVES                                             ,12,1600
7888,POLICE OFFICER                     ,M,W ,40 - 49,46,RECORDS MANAGEMENT                                     ,CENTRAL RECORDS UNIT                                   ,12,1601
7895,POLICE OFFICER                     ,F,W ,30 - 39,35,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,12,1602
7899,POLICE OFFICER                     ,F,W ,30 - 39,35,8TH DIVISION                                           ,DETECTIVES                                             ,12,1603
7902,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,DETECTIVES                                             ,12,1604
7904,POLICE OFFICER                     ,M,B ,30 - 39,38,1ST DIVISION                                           ,1ST PLATOON                                            ,12,1605
7907,POLICE SERGEANT                    ,M,W ,30 - 39,38,3RD DIVISION                                           ,2ND PLATOON                                            ,12,1606
7909,POLICE OFFICER                     ,M,W ,50 - 59,52,2ND DIVISION                                           ,3RD PLATOON                                            ,12,1607
7893,POLICE OFFICER                     ,M,W ,40 - 49,46,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,12,1608
7910,POLICE RECRUIT                     ,M,W ,30 - 39,36,FORMER EMPLOYEE                                        ,,122,1609
7892,POLICE OFFICER                     ,M,W ,30 - 39,38,CIS ROBBERY                                            ,2ND PLATOON                                            ,12,1610
7896,POLICE RECRUIT                     ,M,W ,40 - 49,45,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,122,1611
7900,POLICE OFFICER                     ,M,H ,40 - 49,41,5TH DIVISION                                           ,1ST PLATOON                                            ,12,1612
7903,POLICE RECRUIT                     ,F,W ,30 - 39,35,FORMER EMPLOYEE                                        ,,122,1613
7891,POLICE OFFICER                     ,M,W ,30 - 39,38,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,12,1614
7908,POLICE OFFICER                     ,F,W ,30 - 39,36,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,12,1615
7905,POLICE OFFICER                     ,M,W ,30 - 39,35,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,12,1616
7901,POLICE OFFICER                     ,M,W ,40 - 49,46,6TH DIVISION                                           ,DETECTIVES                                             ,12,1617
7898,POLICE OFFICER                     ,M,B ,50 - 59,50,6TH DIVISION                                           ,1ST PLATOON                                            ,12,1618
7889,POLICE RECRUIT                     ,M,W ,40 - 49,40,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,0,1619
7911,POLICE OFFICER                     ,M,W ,30 - 39,38,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,12,1620
7890,POLICE SERGEANT                    ,M,W ,50 - 59,50,3RD DIVISION                                           ,2ND PLATOON                                            ,12,1621
7897,POLICE OFFICER                     ,M,W ,40 - 49,47,AIR PATROL                                             ,STAFF                                                  ,12,1622
7923,POLICE SERGEANT                    ,M,W ,50 - 59,52,6TH DIVISION                                           ,1ST PLATOON                                            ,11,1623
7942,POLICE LIEUTENANT                  ,M,W ,40 - 49,41,4TH DIVISION                                           ,STAFF                                                  ,11,1624
7943,POLICE SERGEANT                    ,M,W ,30 - 39,34,SUPPORT BUREAU                                         ,STAFF                                                  ,11,1625
7935,POLICE OFFICER                     ,M,W ,30 - 39,36,5TH DIVISION                                           ,2ND PLATOON                                            ,11,1626
7929,POLICE OFFICER                     ,M,W ,30 - 39,37,CANINE UNIT                                            ,3RD PLATOON                                            ,11,1627
7916,POLICE OFFICER                     ,M,W ,30 - 39,36,5TH DIVISION                                           ,2ND PLATOON                                            ,11,1628
7920,POLICE OFFICER                     ,M,W ,40 - 49,43,9TH DIVISION                                           ,STAFF                                                  ,11,1629
7924,POLICE OFFICER                     ,M,W ,30 - 39,38,7TH DIVISION                                           ,DETECTIVES                                             ,11,1630
7930,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,DETECTIVES                                             ,11,1631
7940,POLICE SERGEANT                    ,M,W ,30 - 39,35,1ST DIVISION                                           ,1ST PLATOON                                            ,11,1632
7912,POLICE OFFICER                     ,M,W ,30 - 39,35,1ST DIVISION                                           ,2ND PLATOON                                            ,11,1633
7928,POLICE OFFICER                     ,M,W ,30 - 39,37,6TH DIVISION                                           ,3RD PLATOON                                            ,11,1634
7939,POLICE OFFICER                     ,M,W ,40 - 49,45,1ST DIVISION                                           ,DETECTIVES                                             ,11,1635
7937,POLICE OFFICER                     ,M,W ,40 - 49,42,AIR PATROL                                             ,STAFF                                                  ,11,1636
7925,POLICE OFFICER                     ,M,W ,30 - 39,35,2ND DIVISION                                           ,3RD PLATOON                                            ,11,1637
7919,POLICE OFFICER                     ,M,W ,30 - 39,36,TRAINING                                               ,BASIC ACADEMY                                          ,11,1638
7927,POLICE RECRUIT                     ,M,W ,30 - 39,37,FORMER EMPLOYEE                                        ,,122,1639
7921,POLICE SERGEANT                    ,M,W ,30 - 39,34,7TH DIVISION                                           ,DETECTIVES                                             ,11,1640
7913,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,4TH DIVISION                                           ,STAFF                                                  ,11,1641
7918,POLICE SERGEANT                    ,M,W ,40 - 49,43,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,11,1642
7941,POLICE SERGEANT                    ,M,B ,40 - 49,41,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,11,1643
7922,POLICE OFFICER                     ,F,W ,30 - 39,36,8TH DIVISION                                           ,2ND PLATOON                                            ,11,1644
7917,POLICE OFFICER                     ,M,W ,30 - 39,38,9TH DIVISION                                           ,STAFF                                                  ,11,1645
7934,POLICE RECRUIT                     ,M,W ,50 - 59,50,FORMER EMPLOYEE                                        ,,122,1646
7938,POLICE OFFICER                     ,M,W ,50 - 59,52,6TH DIVISION                                           ,1ST PLATOON                                            ,11,1647
7914,POLICE OFFICER                     ,F,W ,50 - 59,51,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,11,1648
7931,POLICE SERGEANT                    ,M,W ,30 - 39,35,SWAT UNIT                                              ,SQUAD 2                                                ,11,1649
7936,POLICE OFFICER                     ,M,W ,30 - 39,37,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,11,1650
7926,POLICE OFFICER                     ,M,W ,40 - 49,48,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,11,1651
7933,POLICE RECRUIT                     ,F,W ,30 - 39,37,FORMER EMPLOYEE                                        ,,122,1652
100,POLICE OFFICER                     ,M,W ,OVER 60,72,,,11,1653
7957,POLICE SERGEANT                    ,M,W ,30 - 39,39,1ST DIVISION                                           ,1ST PLATOON                                            ,11,1654
7954,POLICE OFFICER                     ,M,B ,30 - 39,33,6TH DIVISION                                           ,1ST PLATOON                                            ,11,1655
7932,POLICE OFFICER                     ,F,W ,30 - 39,34,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,11,1656
7915,POLICE LIEUTENANT                  ,M,W ,30 - 39,33,1ST DIVISION                                           ,STAFF                                                  ,11,1657
7959,POLICE OFFICER                     ,M,W ,40 - 49,41,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,11,1658
7960,POLICE OFFICER                     ,M,H ,30 - 39,38,5TH DIVISION                                           ,1ST PLATOON                                            ,11,1659
7963,POLICE OFFICER                     ,F,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,11,1660
7955,POLICE OFFICER                     ,M,B ,30 - 39,34,7TH DIVISION                                           ,1ST PLATOON                                            ,11,1661
7956,POLICE OFFICER                     ,F,W ,40 - 49,42,8TH DIVISION                                           ,DETECTIVES                                             ,11,1662
7958,POLICE SERGEANT                    ,M,B ,30 - 39,34,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,11,1663
7961,POLICE OFFICER                     ,M,W ,40 - 49,44,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,11,1664
7945,POLICE MAJOR                       ,M,W ,30 - 39,33,CHIEF`S STAFF                                          ,STAFF                                                  ,11,1665
7949,POLICE OFFICER                     ,M,W ,30 - 39,34,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,11,1666
7964,POLICE OFFICER                     ,M,W ,30 - 39,36,CANINE UNIT                                            ,2ND PLATOON                                            ,11,1667
7944,POLICE OFFICER                     ,M,H ,30 - 39,34,8TH DIVISION                                           ,1ST PLATOON                                            ,11,1668
7950,POLICE RECRUIT                     ,M,W ,40 - 49,42,FORMER EMPLOYEE                                        ,,11,1669
7948,POLICE SERGEANT                    ,M,W ,30 - 39,35,6TH DIVISION                                           ,2ND PLATOON                                            ,11,1670
7947,POLICE OFFICER                     ,M,W ,30 - 39,36,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,11,1671
7946,POLICE SERGEANT                    ,M,W ,40 - 49,46,STRATEGIC PLANNING                                     ,STAFF                                                  ,11,1672
7952,POLICE OFFICER                     ,M,B ,30 - 39,33,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,11,1673
7953,POLICE OFFICER                     ,M,B ,30 - 39,36,CIS HOMICIDE                                           ,SQUAD 3                                                ,11,1674
7962,POLICE SERGEANT                    ,M,W ,30 - 39,36,7TH DIVISION                                           ,DETECTIVES                                             ,11,1675
7965,POLICE OFFICER                     ,M,W ,30 - 39,38,SWAT UNIT                                              ,SQUAD 2                                                ,20,1676
709004,,,,,,,,0,1677
7975,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,1ST PLATOON                                            ,10,1678
7973,POLICE OFFICER                     ,M,B ,30 - 39,39,2ND DIVISION                                           ,HALO/DRO                                               ,10,1679
7972,POLICE OFFICER                     ,M,H ,30 - 39,39,6TH DIVISION                                           ,1ST PLATOON                                            ,10,1680
7968,POLICE SERGEANT                    ,M,W ,30 - 39,39,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,10,1681
7971,POLICE OFFICER                     ,F,W ,30 - 39,35,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,9,1682
7984,POLICE OFFICER                     ,M,W ,30 - 39,36,8TH DIVISION                                           ,2ND PLATOON                                            ,10,1683
7982,POLICE OFFICER                     ,F,A ,40 - 49,40,6TH DIVISION                                           ,1ST PLATOON                                            ,10,1684
7977,POLICE OFFICER                     ,M,W ,30 - 39,34,SWAT UNIT                                              ,SQUAD 1                                                ,10,1685
7979,POLICE OFFICER                     ,M,W ,40 - 49,40,CIS ROBBERY                                            ,2ND PLATOON                                            ,10,1686
7980,POLICE SERGEANT                    ,M,W ,40 - 49,45,5TH DIVISION                                           ,2ND PLATOON                                            ,10,1687
7981,POLICE OFFICER                     ,F,W ,30 - 39,36,2ND DIVISION                                           ,DETECTIVES                                             ,10,1688
7974,POLICE OFFICER                     ,M,W ,30 - 39,38,6TH DIVISION                                           ,1ST PLATOON                                            ,10,1689
7970,POLICE OFFICER                     ,F,W ,30 - 39,37,3RD DIVISION                                           ,DETECTIVES                                             ,10,1690
7995,POLICE SERGEANT                    ,M,W ,30 - 39,35,2ND DIVISION                                           ,2ND PLATOON                                            ,10,1691
7986,POLICE SERGEANT                    ,M,W ,30 - 39,39,6TH DIVISION                                           ,2ND PLATOON                                            ,10,1692
7969,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,2ND DIVISION                                           ,STAFF                                                  ,10,1693
7978,POLICE OFFICER                     ,M,W ,30 - 39,38,4TH DIVISION                                           ,1ST PLATOON                                            ,10,1694
7967,POLICE OFFICER                     ,M,W ,40 - 49,40,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,10,1695
7976,POLICE SERGEANT                    ,F,W ,40 - 49,40,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,10,1696
7996,POLICE OFFICER                     ,M,W ,30 - 39,36,8TH DIVISION                                           ,2ND PLATOON                                            ,10,1697
7994,POLICE OFFICER                     ,M,W ,30 - 39,36,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,10,1698
7993,POLICE OFFICER                     ,M,W ,40 - 49,40,SWAT UNIT                                              ,SQUAD 1                                                ,10,1699
7992,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,2ND PLATOON                                            ,10,1700
7991,POLICE SERGEANT                    ,M,H ,30 - 39,35,2ND DIVISION                                           ,1ST PLATOON                                            ,10,1701
7990,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,3RD PLATOON                                            ,10,1702
7989,POLICE OFFICER                     ,F,W ,30 - 39,37,7TH DIVISION                                           ,1ST PLATOON                                            ,10,1703
7988,POLICE SERGEANT                    ,F,B ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,10,1704
7987,POLICE LIEUTENANT                  ,M,W ,30 - 39,36,1ST DIVISION                                           ,BIKE PLATOON                                           ,10,1705
7985,POLICE OFFICER                     ,F,W ,30 - 39,36,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,10,1706
7983,POLICE RECRUIT                     ,M,W ,50 - 59,51,TRAINING                                               ,RECRUITS                                               ,122,1707
506219,,,,,,,,0,1708
702604,,,,,,,,0,1709
918303,,,,,,,,0,1710
920864,,,,,,,,0,1711
7026,POLICE LIEUTENANT                  ,M,A ,30 - 39,33,PERFORMANCE DIVISION                                   ,STAFF                                                  ,10,1712
7029,POLICE RECRUIT                     ,M,B ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,122,1713
7032,POLICE OFFICER                     ,M,W ,40 - 49,45,MOUNTED PATROL                                         ,STAFF                                                  ,10,1714
7034,POLICE OFFICER                     ,M,W ,30 - 39,34,SWAT UNIT                                              ,SQUAD 1                                                ,10,1715
7016,POLICE SERGEANT                    ,M,W ,40 - 49,44,8TH DIVISION                                           ,2ND PLATOON                                            ,10,1716
7010,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,2ND PLATOON                                            ,10,1717
7007,POLICE OFFICER                     ,F,W ,30 - 39,37,8TH DIVISION                                           ,3RD PLATOON                                            ,10,1718
7030,POLICE LIEUTENANT                  ,M,W ,30 - 39,32,7TH DIVISION                                           ,STAFF                                                  ,10,1719
7001,POLICE OFFICER                     ,M,W ,30 - 39,33,CIS ROBBERY                                            ,2ND PLATOON                                            ,10,1720
7012,POLICE SERGEANT                    ,M,W ,30 - 39,33,5TH DIVISION                                           ,2ND PLATOON                                            ,10,1721
7031,POLICE OFFICER                     ,M,W ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,10,1722
7020,POLICE OFFICER                     ,M,W ,30 - 39,33,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,10,1723
7021,POLICE OFFICER                     ,M,W ,30 - 39,39,8TH DIVISION                                           ,2ND PLATOON                                            ,10,1724
7015,POLICE OFFICER                     ,F,W ,30 - 39,36,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,10,1725
7014,POLICE RECRUIT                     ,M,U ,40 - 49,40,TRAINING                                               ,RECRUITS                                               ,122,1726
7004,POLICE OFFICER                     ,F,W ,30 - 39,33,CIS HOMICIDE                                           ,SQUAD 2                                                ,10,1727
7013,POLICE OFFICER                     ,M,H ,50 - 59,51,CIS HOMICIDE                                           ,1ST PLATOON                                            ,10,1728
7009,POLICE OFFICER                     ,M,W ,30 - 39,34,SWAT UNIT                                              ,SQUAD 1                                                ,10,1729
7005,POLICE SERGEANT                    ,M,B ,30 - 39,35,8TH DIVISION                                           ,1ST PLATOON                                            ,10,1730
7006,POLICE OFFICER                     ,M,W ,40 - 49,41,6TH DIVISION                                           ,1ST PLATOON                                            ,10,1731
7019,POLICE OFFICER                     ,F,W ,30 - 39,35,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,10,1732
7000,POLICE RECRUIT                     ,M,W ,30 - 39,36,TRAINING                                               ,RECRUITS                                               ,122,1733
7028,POLICE OFFICER                     ,M,W ,30 - 39,36,5TH DIVISION                                           ,1ST PLATOON                                            ,10,1734
7033,POLICE OFFICER                     ,M,W ,30 - 39,36,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,10,1735
7027,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,1ST PLATOON                                            ,10,1736
7024,POLICE OFFICER                     ,M,W ,30 - 39,36,SWAT UNIT                                              ,SQUAD 1                                                ,10,1737
7003,POLICE OFFICER                     ,M,W ,40 - 49,43,5TH DIVISION                                           ,3RD PLATOON                                            ,10,1738
7025,POLICE RECRUIT                     ,M,B ,30 - 39,34,TRAINING                                               ,RECRUITS                                               ,122,1739
7023,POLICE OFFICER                     ,M,W ,30 - 39,35,5TH DIVISION                                           ,1ST PLATOON                                            ,10,1740
7022,POLICE SERGEANT                    ,M,W ,40 - 49,44,5TH DIVISION                                           ,2ND PLATOON                                            ,10,1741
7017,POLICE SERGEANT                    ,M,W ,30 - 39,34,1ST DIVISION                                           ,BIKE PLATOON                                           ,10,1742
7008,POLICE SERGEANT                    ,M,B ,30 - 39,34,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,10,1743
7002,POLICE SERGEANT                    ,F,W ,30 - 39,34,CIS HOMICIDE                                           ,SQUAD 2                                                ,10,1744
7011,POLICE OFFICER                     ,F,W ,40 - 49,40,1ST DIVISION                                           ,3RD PLATOON                                            ,9,1745
918503,,,,,,,,0,1746
504019,,,,,,,,0,1747
707804,,,,,,,,0,1748
7998,POLICE CHIEF                       ,M,B ,OVER 60,77,CHIEF`S STAFF                                          ,STAFF                                                  ,122,1749
7999,POLICE RECRUIT                     ,M,W ,40 - 49,45,FORMER EMPLOYEE                                        ,,122,1750
7050,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,9,1751
7038,POLICE OFFICER                     ,M,W ,30 - 39,37,1ST DIVISION                                           ,BIKE PLATOON                                           ,9,1752
7036,POLICE OFFICER                     ,F,W ,40 - 49,46,CIS HOMICIDE                                           ,SQUAD 1                                                ,9,1753
7037,POLICE OFFICER                     ,M,W ,30 - 39,38,1ST DIVISION                                           ,BIKE PLATOON                                           ,9,1754
7039,POLICE OFFICER                     ,M,B ,40 - 49,40,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9,1755
7061,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,STAFF                                                  ,9,1756
7040,POLICE OFFICER                     ,M,B ,40 - 49,40,4TH DIVISION                                           ,2ND PLATOON                                            ,9,1757
7041,POLICE OFFICER                     ,M,W ,30 - 39,37,8TH DIVISION                                           ,1ST PLATOON                                            ,9,1758
7042,POLICE OFFICER                     ,M,B ,40 - 49,47,2ND DIVISION                                           ,2ND PLATOON                                            ,9,1759
7043,POLICE OFFICER                     ,F,W ,30 - 39,34,5TH DIVISION                                           ,DETECTIVES                                             ,9,1760
7044,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,3RD PLATOON                                            ,9,1761
7051,POLICE RECRUIT                     ,M,W ,30 - 39,38,TRAINING                                               ,,0,1762
7045,POLICE OFFICER                     ,M,B ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,9,1763
7046,POLICE OFFICER                     ,M,W ,30 - 39,33,4TH DIVISION                                           ,DETECTIVES                                             ,9,1764
7047,POLICE OFFICER                     ,F,B ,30 - 39,35,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,9,1765
7048,POLICE SERGEANT                    ,M,W ,30 - 39,35,8TH DIVISION                                           ,2ND PLATOON                                            ,9,1766
7049,POLICE OFFICER                     ,M,W ,30 - 39,34,5TH DIVISION                                           ,2ND PLATOON                                            ,9,1767
7052,POLICE SERGEANT                    ,M,W ,30 - 39,37,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,9,1768
7056,POLICE OFFICER                     ,M,B ,40 - 49,43,1ST DIVISION                                           ,BIKE PLATOON                                           ,9,1769
7053,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,9,1770
7054,POLICE OFFICER                     ,F,W ,30 - 39,32,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,9,1771
7055,POLICE OFFICER                     ,M,W ,30 - 39,37,MOUNTED PATROL                                         ,STAFF                                                  ,9,1772
7058,POLICE OFFICER                     ,M,H ,30 - 39,34,1ST DIVISION                                           ,BIKE PLATOON                                           ,9,1773
7057,POLICE OFFICER                     ,M,W ,30 - 39,34,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,9,1774
7059,POLICE OFFICER                     ,M,W ,40 - 49,45,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,9,1775
7060,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,3RD PLATOON                                            ,9,1776
7062,POLICE OFFICER                     ,M,W ,30 - 39,37,CIS ROBBERY                                            ,3RD PLATOON                                            ,9,1777
7063,POLICE OFFICER                     ,M,W ,40 - 49,45,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,9,1778
7064,POLICE OFFICER                     ,M,W ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,9,1779
7065,POLICE OFFICER                     ,M,H ,30 - 39,33,6TH DIVISION                                           ,DETECTIVES                                             ,9,1780
7066,POLICE SERGEANT                    ,M,W ,30 - 39,33,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,9,1781
7067,POLICE RECRUIT                     ,F,W ,30 - 39,33,TRAINING                                               ,,0,1782
7096,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,2ND PLATOON                                            ,9,1783
7069,POLICE OFFICER                     ,M,W ,30 - 39,34,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9,1784
7070,POLICE SERGEANT                    ,M,W ,30 - 39,35,1ST DIVISION                                           ,DETECTIVES                                             ,9,1785
7072,POLICE SERGEANT                    ,M,W ,40 - 49,42,TRAFFIC                                                ,1ST PLATOON                                            ,9,1786
125706,,,,,,,,0,1787
126306,,,,,,,,0,1788
7074,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,DETECTIVES                                             ,9,1789
7077,POLICE OFFICER                     ,M,W ,30 - 39,33,RIVER PATROL                                           ,STAFF                                                  ,9,1790
7080,POLICE OFFICER                     ,M,W ,50 - 59,51,3RD DIVISION                                           ,1ST PLATOON                                            ,9,1791
7078,POLICE RECRUIT                     ,M,B ,40 - 49,49,TRAINING                                               ,,0,1792
7081,POLICE OFFICER                     ,M,W ,40 - 49,40,2ND DIVISION                                           ,DETECTIVES                                             ,9,1793
7079,POLICE OFFICER                     ,F,A ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,9,1794
7083,POLICE OFFICER                     ,F,W ,30 - 39,34,5TH DIVISION                                           ,1ST PLATOON                                            ,9,1795
7082,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,DETECTIVES                                             ,9,1796
7086,POLICE SERGEANT                    ,M,W ,30 - 39,36,6TH DIVISION                                           ,2ND PLATOON                                            ,9,1797
7085,POLICE SERGEANT                    ,M,W ,30 - 39,33,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,9,1798
7076,POLICE OFFICER                     ,M,W ,30 - 39,33,CIS HOMICIDE                                           ,SQUAD 3                                                ,9,1799
7084,POLICE OFFICER                     ,F,W ,30 - 39,34,1ST DIVISION                                           ,BIKE PLATOON                                           ,9,1800
7089,POLICE SERGEANT                    ,M,W ,30 - 39,36,3RD DIVISION                                           ,DETECTIVES                                             ,9,1801
7087,POLICE SERGEANT                    ,M,W ,30 - 39,36,5TH DIVISION                                           ,DETECTIVES                                             ,9,1802
7088,POLICE OFFICER                     ,M,W ,30 - 39,37,CANINE UNIT                                            ,3RD PLATOON                                            ,9,1803
7090,POLICE SERGEANT                    ,M,W ,30 - 39,32,7TH DIVISION                                           ,2ND PLATOON                                            ,9,1804
7091,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,DETECTIVES                                             ,9,1805
7094,POLICE OFFICER                     ,F,W ,30 - 39,36,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1806
7095,POLICE OFFICER                     ,M,W ,30 - 39,36,8TH DIVISION                                           ,1ST PLATOON                                            ,9,1807
7098,POLICE OFFICER                     ,M,W ,30 - 39,39,8TH DIVISION                                           ,2ND PLATOON                                            ,9,1808
7097,POLICE OFFICER                     ,F,W ,40 - 49,41,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,9,1809
7092,POLICE RECRUIT                     ,M,B ,50 - 59,52,TRAINING                                               ,,0,1810
7099,POLICE OFFICER                     ,M,W ,30 - 39,34,9TH DIVISION                                           ,SQUAD 3                                                ,9,1811
7100,POLICE OFFICER                     ,M,B ,30 - 39,35,7TH DIVISION                                           ,2ND PLATOON                                            ,9,1812
7101,POLICE SERGEANT                    ,M,B ,30 - 39,39,4TH DIVISION                                           ,2ND PLATOON                                            ,9,1813
7103,POLICE OFFICER                     ,M,B ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1814
7104,POLICE SERGEANT                    ,M,B ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,9,1815
7071,POLICE OFFICER                     ,M,W ,30 - 39,32,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,9,1816
7105,POLICE OFFICER                     ,M,W ,30 - 39,32,8TH DIVISION                                           ,1ST PLATOON                                            ,9,1817
7106,POLICE OFFICER                     ,M,W ,40 - 49,41,7TH DIVISION                                           ,2ND PLATOON                                            ,9,1818
7107,POLICE OFFICER                     ,M,B ,40 - 49,42,2ND DIVISION                                           ,3RD PLATOON                                            ,9,1819
7108,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,3RD PLATOON                                            ,9,1820
7102,POLICE OFFICER                     ,M,W ,30 - 39,38,2ND DIVISION                                           ,1ST PLATOON                                            ,9,1821
7068,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,9,1822
7110,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS ROBBERY                                            ,2ND PLATOON                                            ,9,1823
7111,POLICE OFFICER                     ,M,W ,40 - 49,44,8TH DIVISION                                           ,1ST PLATOON                                            ,8,1824
7112,POLICE OFFICER                     ,M,B ,30 - 39,39,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,9,1825
7113,POLICE OFFICER                     ,M,W ,30 - 39,31,2ND DIVISION                                           ,DETECTIVES                                             ,9,1826
